Accession	Sample Name	SPUID	Organism	Tax ID	BioProject
SAMN61628042	GOM23_S3_N4_18S	GOM23_S3_N4_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628043	GOM23_S3_N5_18S	GOM23_S3_N5_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628044	GOM23_S3_N6_18S	GOM23_S3_N6_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628045	GOM23_S3_N7_18S	GOM23_S3_N7_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628046	GOM23_S3_N8_18S	GOM23_S3_N8_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628047	GOM23_S3_N9_18S	GOM23_S3_N9_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628048	GOM23_S4_N10_18S	GOM23_S4_N10_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628049	GOM23_S4_N11_18S	GOM23_S4_N11_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628050	GOM23_S4_N1_18S	GOM23_S4_N1_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628051	GOM23_S4_N2_18S	GOM23_S4_N2_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628052	GOM23_S4_N3_18S	GOM23_S4_N3_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628053	GOM23_S4_N4_18S	GOM23_S4_N4_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628054	GOM23_S4_N5_18S	GOM23_S4_N5_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628055	GOM23_S4_N6_18S	GOM23_S4_N6_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628056	GOM23_S4_N9_18S	GOM23_S4_N9_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628057	GOM23_S5_N10_18S	GOM23_S5_N10_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628058	GOM23_S5_N11_18S	GOM23_S5_N11_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628059	GOM23_S5_N12_18S	GOM23_S5_N12_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628060	GOM23_S5_N1_18S	GOM23_S5_N1_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628061	GOM23_S5_N2_18S	GOM23_S5_N2_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628062	GOM23_S5_N3_18S	GOM23_S5_N3_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628063	GOM23_S5_N4_18S	GOM23_S5_N4_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628064	GOM23_S5_N5_18S	GOM23_S5_N5_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628065	GOM23_S5_N6_18S	GOM23_S5_N6_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628066	GOM23_S7_N10_18S	GOM23_S7_N10_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628067	GOM23_S7_N11_18S	GOM23_S7_N11_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628068	GOM23_S7_N12_18S	GOM23_S7_N12_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628069	GOM23_S7_N2_18S	GOM23_S7_N2_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628070	GOM23_S7_N3_18S	GOM23_S7_N3_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628071	GOM23_S7_N4_18S	GOM23_S7_N4_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628072	GOM23_S7_N5_18S	GOM23_S7_N5_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628073	GOM23_S7_N6_18S	GOM23_S7_N6_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628074	GOM23_S7_N7_18S	GOM23_S7_N7_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628075	GOM23_S7_N9_18S	GOM23_S7_N9_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628076	GOM23_S8_N10_18S	GOM23_S8_N10_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628077	GOM23_S8_N11_18S	GOM23_S8_N11_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628078	GOM23_S8_N1_18S	GOM23_S8_N1_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628079	GOM23_S8_N3_18S	GOM23_S8_N3_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628080	GOM23_S8_N4_18S	GOM23_S8_N4_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628081	GOM23_S8_N5_18S	GOM23_S8_N5_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628082	GOM23_S8_N7_18S	GOM23_S8_N7_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628083	GOM23_S8_N8_18S	GOM23_S8_N8_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628084	GOM23_S8_N9_18S	GOM23_S8_N9_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628085	GOM23_S9_N5_18S	GOM23_S9_N5_18S	seawater metagenome	1561972	PRJNA1495251
SAMN61628086	GOM23_S9_N9_18S	GOM23_S9_N9_18S	seawater metagenome	1561972	PRJNA1495251
