Station,Niskin,Targeted Depth (m),CTD Recorded Depth (m),CTD Pressure (db), NMEA Latitude, NMEA Longitude,Date,Time (UTC),CFC Bottle,O2 Flask,Methane/N₂O,DIC/TA flask,CDOM,Viscosity / PAM/Turn.,Nutrients,DON,δ¹⁸O,Salinity,Microbio Filters,Microscopy,HOC / DOC,CTD Temperature,Uncorrected CTD Conductivity,Corrected CTD Conductivity,Bottle Conductivity,Bottle Conductivity (Dupes),Uncorrected CTD Salinity,Corrected CTD Salinity,Bottle Salinity,Bottle Salinity (Dupes),Uncorrected CTD Oxygen,Corrected CTD Oxygen,Bottle Oxygen (ml/l),Bottle Oxygen (Dupes),CTD Fluorescence,NO₃ (µmol/L),PO₄ (µmol/L),SIL (µmol/L),NO₂ (µmol/L),NH₄ (µmol/L),Calculated  DIC (Apollo),Calculated  DIC (Apollo) Dupes,Apollo pH,Apollo pH Dupes,TA_Final,TA_Final Dupes,Notes,,,,
2.0,3,270.000,269.068,271.058,28.648,89.136,7/30/2023,21:36:00,--,104,013,S159,E34,--,S585,Q475,004,211W,X,--,S5,13.332,4.215,4.214,4.208,--,35.700,35.693,35.639,--,2.991,2.880,2.799,--,-0.101,16.10,1.10,7.30,0.02,1.25,2204.230185,--,7.7869,--,0.002376252879,--,,,,,
2.0,4,270.000,269.085,271.075,28.648,89.136,7/30/2023,21:36:00,--,--,--,--,--,--,--,--,--,--,--,--,--,13.330,4.214,4.214,--,--,35.700,35.692,--,--,2.994,2.882,--,--,-0.104,--,--,--,--,--,--,--,,--,,--,,,,,
2.0,5,270.000,269.053,271.043,28.648,89.136,7/30/2023,21:36:00,--,--,--,--,--,--,--,--,--,--,--,--,--,13.335,4.215,4.214,--,--,35.701,35.693,--,--,2.992,2.880,--,--,-0.099,--,--,--,--,--,--,--,,--,,--,,,,,
2.0,6,150.000,149.888,150.953,28.648,89.136,7/30/2023,21:36:00,--,105,327,S158,E3,--,S104,Q484,005,208W,X,--,S6,15.248,4.434,4.433,4.432,--,36.010,36.002,35.997,--,3.038,2.925,2.908,--,-0.099,16.79,0.94,6.80,0.02,0.96,2198.769424,--,7.814,--,0.002372623253,--,,,,,
2.0,7,150.000,149.853,150.917,28.648,89.136,7/30/2023,21:36:00,--,--,--,--,--,--,--,--,--,--,--,--,--,15.254,4.436,4.435,--,--,36.021,36.013,--,--,3.040,2.927,--,--,-0.098,--,--,--,--,--,--,--,,--,,--,,,,,
2.0,8,25.000,24.170,24.334,28.648,89.136,7/30/2023,21:36:00,--,107,326,S157,E21,--,S580,Q491,006,205W,X,--,S7,25.404,5.501,5.500,5.519,--,36.111,36.103,36.250,--,4.566,4.396,3.348,--,0.501,3.73,0.38,9.60,0.12,0.61,2158.237851,--,7.9767,--,0.00243371128,--,DCM,,,,
2.0,9,25.000,24.107,24.271,28.648,89.136,7/30/2023,21:36:00,--,--,--,--,--,--,--,--,--,--,--,--,--,25.391,5.493,5.491,--,--,36.060,36.052,--,--,4.073,3.921,--,--,0.530,--,--,--,--,--,--,--,,--,,--,DCM,,,,
2.0,10,25.000,24.083,24.246,28.648,89.136,7/30/2023,21:36:00,--,--,--,--,--,--,--,--,--,--,--,--,--,25.392,5.498,5.497,--,--,36.098,36.090,--,--,4.128,3.975,--,--,0.500,--,--,--,--,--,--,--,,--,,--,DCM,,,,
2.0,11,0.000,2.900,2.919,28.648,89.136,7/30/2023,21:36:00,X,109,381,S156,E11,X,S595,Q466,037,202W,X,--,S8,31.751,5.269,5.268,5.300,--,30.107,30.101,30.301,--,3.701,3.563,4.722,--,0.314,0.05,0.16,4.10,0.00,0.80,2029.16241,--,7.5511,--,0.00239735496,--,,,,,
2.0,12,0.000,2.873,2.892,28.648,89.136,7/30/2023,21:36:00,--,--,--,--,--,--,--,--,--,--,--,--,--,31.770,5.274,5.273,--,--,30.131,30.124,--,--,4.066,3.915,--,--,0.309,--,--,--,--,--,--,--,,--,,--,failed leak test,,,,
3.0,1,1235.000,1234.265,1246.299,28.438,88.805,7/31/2023,0:47:00,--,111,068,S155,E22,--,S586,Q474,007,222W,X,--,S1,4.340,3.339,3.338,3.338,--,34.969,34.961,34.963,--,4.927,4.743,4.366,--,-0.097,23.57,1.62,26.40,0.02,0.48,2204.472624,--,7.7697,--,0.002362191832,--,,,,,
3.0,2,1100.000,1098.284,1108.629,28.438,88.805,7/31/2023,0:47:00,--,113,057,S154,E41,--,S593 / S617,Q483,008,219W,X,--,--,4.599,3.355,3.354,3.354,--,34.958,34.950,34.947,--,4.655,4.481,4.329,--,-0.095,25.28 / 25.22,1.70 / 1.69,26.50 / 26.40,0.02 / 0.02,0.49 / 0.55,2203.649587,--,7.7825,--,0.002462185726,--,,,,,
3.0,3,900.000,898.349,906.374,28.438,88.805,7/31/2023,0:47:00,--,114,037,S153,E26,--,S589,Q468,009,216W,X,--,S2,5.288,3.406,3.406,3.419,--,34.932,34.924,35.079,--,4.058,3.907,3.154,--,-0.090,27.43,1.71,20.10,0.02,0.35,2211.645527,--,7.7094,--,0.002339750413,--,,,,,
3.0,4,700.000,698.194,704.090,28.438,88.805,7/31/2023,0:47:00,--,115 / 116,061,S152,E23,--,S582,Q481,010,213W,X,--,--,6.238,3.482,3.481,3.481,--,34.908,34.901,34.905,--,3.477,3.347,3.297,3.280,-0.095,29.59,1.91,24.20,0.02,0.26,2222.305643,--,7.7302,--,0.002378056681,--,,,,,
3.0,5,550.000,549.566,554.007,28.438,88.805,7/31/2023,0:47:00,--,117,284,--,E32,--,S607,Q490,013 / 014,210W,X,--,S3,7.586,3.603,3.602,3.601,--,34.948,34.940,34.932,--,3.002,2.891,2.850,--,-0.099,30.51,1.92,20.90,0.02,0.58,--,--,--,--,--,--,,,,,
3.0,6,400.000,401.190,404.286,28.438,88.805,7/31/2023,0:47:00,--,118,303,S151 / S150,E12,--,S584,Q480,015,207W,X,--,--,9.846,3.832,3.831,3.829,--,35.195,35.187,35.168,--,2.725,2.623,2.546,--,-0.101,28.06,1.73,15.80,0.02,0.24,2214.777657,2212.412969,7.6774,7.7032,0.002341403064,0.002368201836,O2 min,,,,
3.0,7,150.000,150.128,151.195,28.438,88.805,7/31/2023,0:47:00,--,119,313,S149,E1,--,S592,Q470 / Q473,016,204W,X,--,S4,16.179,4.545,4.544,4.539,--,36.155,36.147,36.109,--,2.938,2.828,2.815,--,-0.065,15.97,0.92,5.90,0.03,0.30,2198.161687,--,7.8356,--,0.002392297908,--,,,,,
3.0,8,65.000,64.991,65.439,28.438,88.805,7/31/2023,0:47:00,--,120,052,S148,E44,--,S594,Q482,033,201W / 221W,X,--,S5,21.968,5.207,5.206,5.203,5.204,36.672,36.664,36.641,36.648,4.050,3.899,3.721,--,0.928,2.30,0.33,1.70,0.28,0.32,2160.895964,--,7.9823,--,0.002443827386,--,DCM,,,,
3.0,9,28.000,29.003,29.200,28.438,88.805,7/31/2023,0:47:00,--,121,--,S147,E4,--,S602,Q460,017,218W,X,--,--,28.267,5.688,5.687,5.855,--,35.248,35.240,36.421,--,2.691,2.591,4.731,--,0.057,0.04,0.00,0.90,0.00,0.36,2069.094826,--,8.0962,--,0.00241668427,--,methane dropped. Sampled from dup niskin,,,,
3.0,10,28.000,29.069,29.266,28.438,88.805,7/31/2023,0:47:00,--,--,131,--,--,--,--,--,--,--,--,--,--,29.390,5.861,5.860,--,--,35.614,35.606,--,--,3.241,3.120,--,--,0.064,--,--,--,--,--,--,--,--,--,--,--,duplicate depth,,,,
3.0,11,0.000,2.577,2.594,28.438,88.805,7/31/2023,0:47:00,--,--,--,--,--,--,--,--,--,--,--,--,--,29.172,5.880,5.879,--,--,35.914,35.906,--,--,2.979,2.868,--,--,0.024,--,--,--,--,--,--,--,--,--,--,--,failed leak test,,,,
3.0,12,0.000,2.579,2.597,28.438,88.805,7/31/2023,0:47:00,X,122,232,--,E42,--,S599,Q453,011,215W,X,--,S6,29.075,5.899,5.898,5.783,--,36.118,36.110,35.319,--,2.886,2.779,3.746,--,0.007,0.02,0.00,1.20,0.00,0.17,--,--,--,--,--,--,,,,,
4.0,1,1725.000,1723.698,1742.548,28.235,88.478,7/31/2023,4:28:00,--,128,365,S142,E43,--,S581,Q465,196,212W,X,--,--,4.255,3.352,3.352,3.351,--,34.976,34.969,34.976,--,5.059,4.871,4.819,--,-0.101,16.88,1.13,19.30,0.02,1.27,2200.669856,--,7.7836,--,0.002355051699,--,,,,,
4.0,2,1725.000,1723.756,1742.606,28.235,88.478,7/31/2023,4:28:00,--,129,251,S140,E6,--,S618 / S583,Q450,191,209W,X,--,--,4.255,3.352,3.352,3.351,--,34.976,34.969,34.968,--,5.059,4.871,4.888,--,-0.096,22.56 / 22.73,1.51 / 1.48,25.80 / 26.10,0.02 / 0.00,0.44 / 1.15,2205.103293,--,7.7955,--,0.002377560185,--,Filter may have introduced error to Nuts/DON. Sucked water into syringe,,,,
4.0,3,1500.000,1499.746,1515.333,28.235,88.478,7/31/2023,4:28:00,--,130,278,S141 / S139,E31,--,S591,Q457,194,206W,X,--,--,4.302,3.347,3.346,3.365,--,34.973,34.965,35.187,--,5.011,4.824,3.277,--,-0.100,25.45,1.61,18.10,0.02,1.39,2206.328258,2230.215866,7.7582,7.7431,0.002362521161,0.002360730372, with filter attached. Niskins 4-8.,,,,
4.0,4,1250.000,1249.619,1261.849,28.235,88.478,7/31/2023,4:28:00,--,131,311 / 116,S138,E5,--,S587,Q458,195,203W,X,--,--,4.435,3.348,3.347,3.346,--,34.966,34.958,34.955,--,4.837,4.657,4.586,--,-0.095,21.52,1.41,23.40,0.00,0.87,2214.018633,--,7.7713,--,0.002362884524,--,,,,,
4.0,5,1000.000,999.159,1008.330,28.235,88.478,7/31/2023,4:28:00,--,132,399,S136,E37,--,S606,Q459 / Q489,197,200W,X,--,--,4.889,3.376,3.375,3.375,--,34.947,34.939,34.941,--,4.378,4.215,4.149,--,-0.102,25.97,1.63,26.30,0.00,1.06,2209.451682,--,7.761,--,0.002372425055,--,,,,,
4.0,6,750.000,749.590,756.014,28.235,88.478,7/31/2023,4:28:00,--,133,383,S137,E20,--,S622,Q467,198 / 199,571W,X,--,--,5.911,3.455,3.454,3.454,--,34.916,34.908,34.911,--,3.635,3.499,3.484,--,-0.099,29.00,1.79,25.00,0.00,1.25,2220.875492,--,7.7222,--,0.002370160793,--,,,,,
4.0,7,500.000,499.891,503.870,28.235,88.478,7/31/2023,4:28:00,--,134,088,S143,E33,--,S590,Q488,020,568W,--,--,--,7.979,3.640,3.639,3.639,--,34.980,34.973,34.972,--,2.910,2.802,2.747,--,-0.100,29.96,2.00,19.80,0.02,1.25,2220.053877,--,7.7383,--,0.002396010617,--,O2 min,,,,
4.0,8,300.000,299.925,302.166,28.235,88.478,7/31/2023,4:28:00,--,142,279,S144,E10,--,S601,Q478,018,565W / 562W,--,--,--,11.414,3.999,3.998,3.997,3.997,35.411,35.403,35.400,35.399,2.950,2.840,2.813,--,-0.099,23.98,1.38,11.90,0.00,1.19,2202.262319,--,7.7227,--,0.002348088743,--,,,,,
4.0,9,70.000,70.191,70.675,28.235,88.478,7/31/2023,4:28:00,--,143 / 145,--,S146,E14,--,S615,Q449,200,559W,X,--,--,22.197,5.241,5.240,5.238,--,36.743,36.735,36.722,--,4.145,3.990,3.823,3.819,0.814,1.49,0.11,1.40,0.19,0.97,2155.440849,--,7.9902,--,0.002427917492,--,DCM,,,,
4.0,10,25.000,25.322,25.494,28.235,88.478,7/31/2023,4:28:00,--,147,--,--,E52,--,S605,Q452,036,556W,X,--,--,29.902,6.015,6.014,6.025,--,36.280,36.272,36.355,--,2.288,2.202,4.455,--,-0.004,0.00,0.00,1.00,0.00,0.43,--,--,,--,--,--,,,,,
4.0,11,0.000,2.231,2.246,28.235,88.478,7/31/2023,4:28:00,X,148,335,S145,E25,X,S612,Q451,186,553W,X,--,--,31.252,5.706,5.705,5.718,--,33.261,33.254,33.339,--,3.615,3.481,4.337,--,0.023,0.00,0.00,1.80,0.00,0.25,2034.720758,--,8.1651,--,0.002387998613,--,did not leak,,,,
4.0,12,0.000,2.270,2.285,28.235,88.478,7/31/2023,4:28:00,--,149,--,--,--,--,S598,Q472,--,550W,--,--,--,31.272,5.710,5.708,5.712,--,33.271,33.263,33.283,--,3.600,3.466,4.311,--,0.041,0.00,0.08,1.80,0.00,0.37,--,--,--,--,--,--,,,,,
5.0,1,2489.000,2386.695,2416.606,27.987,88.136,7/31/2023,9:00:00,--,134,269,S133,E24,--,S619,Q477,188,572W,X,--,--,4.301,3.384,3.383,3.387,--,34.978,34.971,34.982,--,5.039,4.851,4.872,--,-0.099,22.62,1.50,26.20,0.02,0.46,2206.032311,--,7.7775,--,0.002356085732,--,Echo not working properly. Winch stopped twice. Deployed drifter at 6:25 CST,,,,
5.0,2,2200.000,2197.881,2224.428,27.987,88.136,7/31/2023,9:00:00,--,150,--,S134,E17,--,S597,Q486,171,569W,X,--,--,4.294,3.375,3.375,3.374,--,34.977,34.969,34.971,--,5.058,4.870,4.863,--,-0.096,22.10,1.50,24.70,0.02,0.55,2207.309035,--,7.8008,--,0.00238393155,--,Cap loose on nutrient sample.,,,,
5.0,3,1800.000,1795.818,1815.769,27.987,88.136,7/31/2023,9:00:00,--,151,334,S135,E47,--,S621,Q487 / Q469,187,566W / 563W ,X,--,--,4.286,3.358,3.357,3.375,3.375,34.975,34.968,35.184,35.182,5.031,4.844,3.391,--,-0.098,25.13,1.61,18.30,0.00,0.51,2218.731466,--,7.767,--,0.002377043669,--,,,,,
5.0,4,1500.000,1497.906,1513.468,27.987,88.136,7/31/2023,9:00:00,--,152,098 / 350,S127,E56,--,S613,Q464,172,560W,X,--,--,4.327,3.349,3.348,3.348,--,34.972,34.964,34.966,--,4.953,4.769,4.802,--,-0.105,23.40,1.54,25.70,0.00,0.33,2206.363494,--,7.8299,--,0.002445020578,--,,,,,
5.0,5,1250.000,1250.302,1262.541,27.987,88.136,7/31/2023,9:00:00,--,153,--,--,E51,--,S620,Q484,189,557W,X,--,--,4.472,3.351,3.350,3.351,--,34.964,34.956,34.979,--,4.768,4.591,4.539,--,-0.098,23.83,1.58,25.60,0.00,0.50,--,--,--,--,--,--,,,,,
5.0,6,1000.000,998.988,1008.156,27.987,88.136,7/31/2023,9:00:00,--,154 / 155,360,--,E46,--,S616,Q446,190,554W,X,--,--,4.999,3.386,3.385,3.385,--,34.943,34.935,34.936,--,4.262,4.104,4.036,4.064,-0.094,26.34,1.74,26.10,0.00,0.35,--,--,--,--,--,--,,,,,
5.0,7,500.000,500.443,504.427,27.987,88.136,7/31/2023,9:00:00,--,156,298,S132,E15,--,S588,Q471,185,551W,--,--,--,8.920,3.736,3.735,3.737,--,35.067,35.060,35.075,--,2.865,2.759,2.710,--,-0.097,28.65,1.92,17.20,0.03,0.91,2220.502826,--,7.6904,--,0.002362622262,--,O2 min,,,,
5.0,8,300.000,300.305,302.549,27.987,88.136,7/31/2023,9:00:00,--,157,293,S131 / S129,E27,--,S600 / S604,Q463,193,573W,--,--,--,13.128,4.193,4.192,4.191,--,35.669,35.662,35.658,--,3.077,2.963,2.918,--,-0.096,20.32 / 20.42,1.20 / 1.22,8.80 / 8.80,0.02 / 0.00,0.42 / 0.58,2196.970392,2191.688874,7.7939,7.8129,0.002393515124,0.002411396988,,,,,
5.0,9,120.000,121.043,121.894,27.987,88.136,7/31/2023,9:00:00,--,158,063,S130,E16,--,S105,Q462,184,570W,--,--,--,20.210,5.493,5.023,5.020,--,36.681,36.673,36.651,--,4.073,3.239,3.167,--,0.530,8.28,0.38,2.70,0.03,0.45,2177.818432,--,7.9234,--,0.00240334094,--,Cap loose on nutrient sample.,,,,
5.0,10,65.000,60.340,60.755,27.987,88.136,7/31/2023,9:00:00,--,159,344,S128,E8,--,S609,Q461,181 / 192,567W,X,--,--,23.864,5.363,5.362,5.363,--,36.307,36.298,36.309,--,4.744,4.567,4.499,--,0.497,0.00,0.00,2.20,0.02,0.29,2106.340652,--,8.0613,--,0.002520252735,--,DCM,,,,
5.0,11,20.000,20.618,20.758,27.987,88.136,7/31/2023,9:00:00,--,160,001,S126,E53,--,S603,Q479,183,564W,X,--,--,31.108,6.101,6.100,6.110,--,35.967,35.959,36.028,--,3.622,3.487,4.408,--,-0.002,0.00,0.00,1.10,0.00,0.32,2044.023893,--,8.1338,--,0.002430569141,--,,,,,
5.0,12,0.000,2.376,2.393,27.987,88.136,7/31/2023,9:00:00,X,133,321,S125,E7,--,S610,Q456,182,561W,X,--,--,31.347,5.737,5.736,5.744,--,33.401,33.394,33.442,--,3.551,3.419,4.339,--,0.030,0.03,0.02,2.50,0.00,0.36,2044.564326,--,8.1211,--,0.002446352909,--,Cap loose on nutrient sample.,,,,
6.0,1,2357.000,2355.366,2384.706,28.175,88.022,7/31/2023,12:40:00,--,--,--,--,--,--,--,--,--,--,--,--,--,4.296,3.382,3.381,--,--,34.979,34.971,--,--,5.056,4.867,--,--,-0.098,--,--,--,--,--,--,--,--,--,,--,Niskin did not fire. Microbio not sampled.,,,,
6.0,2,2000.000,1998.157,2021.331,28.175,88.022,7/31/2023,12:40:00,--,122,079,S117,E38,--,S611,Q035 / Q036,164,558W,--,--,B1 ABCD,4.292,3.367,3.366,3.366,--,34.976,34.969,34.976,--,5.048,4.860,4.887,--,-0.099,22.84,1.55,25.50,0.00,0.37,2195.173422,--,7.825,--,0.002428029604,--,,,,,
6.0,3,1500.000,1497.819,1513.380,28.175,88.022,7/31/2023,12:40:00,--,123,302,S118,E40,--,S608,Q205,162 / 165,555W,--,--,B2 ABCD,4.343,3.350,3.350,3.350,--,34.971,34.964,34.973,--,4.939,4.755,4.690,--,-0.098,23.42,1.64,25.70,0.02,0.84,2192.288116,--,7.6993,--,0.002431925496,--,,,,,
6.0,4,1000.000,998.778,1007.944,28.175,88.022,7/31/2023,12:40:00,--,--,--,--,--,--,--,--,--,--,--,--,--,5.154,3.399,3.398,--,--,34.938,34.930,--,--,4.144,3.989,--,--,-0.095,--,--,--,--,--,--,--,--,--,,--,Niskin did not fire.,,,,
6.0,5,750.000,748.647,755.061,28.175,88.022,7/31/2023,12:40:00,--,124,038,S122,E49,--,S614,Q052,175,552W / 373W,--,--,S1 / S2,6.286,3.489,3.488,3.488,3.488,34.912,34.905,34.906,34.908,3.428,3.301,3.290,--,-0.095,29.70,2.00,24.10,0.00,0.42,2223.974555,--,7.7355,--,0.002371966597,--,,,,,
6.0,6,500.000,499.921,503.900,28.175,88.022,7/31/2023,12:40:00,--,125 / 126,007,S123,E48,--,S485,Q025,161,370W,--,--,S3,9.162,3.764,3.763,3.763,--,35.116,35.109,35.113,--,2.685,2.585,2.533,2.551,-0.093,19.38,1.73,11.50,0.02,0.49,2214.498094,--,7.7478,--,0.002418409994,--,O2 min,,,,
6.0,7,350.000,349.542,352.196,28.175,88.022,7/31/2023,12:40:00,--,127,055,S124 / S112,E28,--,S483 / S484,Q015,177,367W,--,--,S4,11.846,4.049,4.048,4.048,--,35.472,35.464,35.467,--,2.904,2.796,2.749,--,-0.104,23.20 / 23.24,1.42 / 1.44,11.10 / 11.00,0.02 / 0.02,0.09 / 0.38,2195.553776,2205.650047,7.7361,7.7837,0.002358625269,0.002409582175,,,,,
6.0,8,150.000,152.490,153.574,28.175,88.022,7/31/2023,12:40:00,--,116,275,S119,E59,--,S482,Q043,180,364W,--,--,S5,18.164,4.783,4.782,4.784,--,36.452,36.444,36.460,--,3.364,3.239,3.188,--,-0.069,10.69,1.39,3.60,0.03,0.59,2176.739222,--,7.9223,--,0.002469082616,--,,,,,
6.0,9,67.000,67.386,67.850,28.175,88.022,7/31/2023,12:40:00,--,117,044 / 004,S113,E54,--,S481,Q034,174,361W,--,--,S6,23.312,5.313,5.312,5.312,--,36.374,36.366,36.370,--,4.645,4.472,4.458,--,0.628,0.03,0.08,1.90,0.12,0.27,2115.488833,--,8.0572,--,0.002451776327,--,DCM,,,,
6.0,10,50.000,51.236,51.587,28.175,88.022,7/31/2023,12:40:00,--,118,140,S116,E73,--,S480,Q448,176,358W,--,--,S7,24.842,5.472,5.471,5.472,--,36.338,36.330,36.336,--,4.994,4.808,4.769,--,0.169,0.00,0.02,1.40,0.00,0.22,2094.635992,--,8.0935,--,0.002460945487,--,,,,,
6.0,11,17.000,17.313,17.431,28.175,88.022,7/31/2023,12:40:00,--,119,324,S121,E30,--,S491,Q017,163,355W,--,--,S8,30.289,5.790,5.789,5.782,--,34.478,34.471,34.428,--,3.711,3.573,4.525,--,-0.005,1.90,0.52,3.10,0.02,1.47,2062.656687,--,8.1255,--,0.002445732289,--,Cap loose on nutrient sample.,,,,
6.0,12,0.000,3.111,3.132,28.175,88.022,7/31/2023,12:40:00,X,120,231,S120,E9,X,S486,Q014,179,352W,--,--,S9,31.209,5.661,5.660,5.662,--,32.993,32.986,32.997,--,3.776,3.635,4.291,--,-0.008,0.00,0.04,1.90,0.00,0.34,2034.225953,--,8.1248,--,0.002434595163,--,,,,,
7.0,1,1923.000,1920.971,1942.892,28.431,88.325,7/31/2023,17:06:00,--,153,397,S101,E61,--,S515,Q124,156,351W,X,--,B1 ABC,4.272,3.362,3.361,3.361,--,34.977,34.969,34.973,--,5.033,4.846,4.838,--,-0.100,22.73,1.54,26.30,0.02,0.16,2196.123025,--,7.6193,--,0.002412274865,--,,,,,
7.0,2,1650.000,1648.465,1666.192,28.431,88.325,7/31/2023,17:06:00,--,133,309,S102,E74,--,S506 / S510,Q123,169,354W / 357W,X,--,B2 ABC,4.278,3.351,3.350,3.350,3.350,34.975,34.968,34.969,34.974,5.046,4.858,4.797,--,-0.096,22.91 / 22.95,1.51 / 1.72,25.60 / 25.60,0.00 / 0.02,0.17 / 0.39,2196.43186,--,7.6189,--,0.002388864478,--,,,,,
7.0,3,1400.000,1398.628,1412.822,28.431,88.325,7/31/2023,17:06:00,--,159 / 157,300,--,E57,--,S519,Q119,158,360W,X,--,B3 ABC,4.337,3.345,3.345,3.345,--,34.971,34.964,34.969,--,4.951,4.766,4.729,4.707,-0.099,21.41,1.96,23.70,0.02,0.50,--,--,--,--,,--,,,,,
7.0,4,1150.000,1148.026,1158.979,28.431,88.325,7/31/2023,17:06:00,--,156,355 / 113,S103,E66,--,S513,Q132,155,363W,X,--,--,4.639,3.361,3.360,3.360,--,34.957,34.950,34.948,--,4.606,4.435,4.384,--,-0.095,22.16,1.59,23.40,0.02,0.07,2200.908772,--,7.651,--,0.002393712321,--,,,,,
